id,title
1,Avatar
2,Pirates of the Caribbean: At World's End
3,Spectre
4,The Dark Knight Rises
5,John Carter
6,Spider-Man 3
7,Tangled
8,Avengers: Age of Ultron
9,Harry Potter and the Half-Blood Prince
10,Batman v Superman: Dawn of Justice
11,Superman Returns
12,Quantum of Solace
13,Pirates of the Caribbean: Dead Man's Chest
14,The Lone Ranger
15,Man of Steel
16,The Chronicles of Narnia: Prince Caspian
17,The Avengers
18,Pirates of the Caribbean: On Stranger Tides
19,Men in Black 3
20,The Hobbit: The Battle of the Five Armies
21,The Amazing Spider-Man
22,Robin Hood
23,The Hobbit: The Desolation of Smaug
24,The Golden Compass
25,King Kong
26,Titanic
27,Captain America: Civil War
28,Battleship
29,Jurassic World
30,Skyfall
31,Spider-Man 2
32,Iron Man 3
33,Alice in Wonderland
34,X-Men: The Last Stand
35,Monsters University
36,Transformers: Revenge of the Fallen
37,Transformers: Age of Extinction
38,Oz: The Great and Powerful
39,The Amazing Spider-Man 2
40,TRON: Legacy
41,Cars 2
42,Green Lantern
43,Toy Story 3
44,Terminator Salvation
45,Furious 7
46,World War Z
47,X-Men: Days of Future Past
48,Star Trek Into Darkness
49,Jack the Giant Slayer
50,The Great Gatsby